cdr_id,caller_person_id,receiver_person_id,timestamp,duration_seconds,cell_location_id,call_type,caller_phone_id,receiver_phone_id
CDR000001,P0005,P0009,2026-06-02 09:44:14,301,LOC0002,voice,PH0021,PH0009
CDR000002,P0005,P0012,2026-06-02 19:31:35,0,LOC0002,sms,PH0021,PH0012
CDR000003,P0006,P0004,2026-06-03 10:45:38,0,LOC0006,sms,PH0006,PH0004
CDR000004,P0010,P0009,2026-06-03 11:14:52,0,LOC0008,sms,PH0010,PH0009
CDR000005,P0004,P0007,2026-06-03 14:09:57,145,LOC0004,voice,PH0004,PH0007
CDR000006,P0013,P0009,2026-06-03 17:36:07,35,LOC0008,voice,PH0013,PH0009
CDR000007,P0017,P0007,2026-06-03 17:56:08,39,LOC0008,voice,PH0017,PH0007
CDR000008,P0012,P0009,2026-06-04 13:38:04,168,LOC0006,voice,PH0012,PH0009
CDR000009,P0014,P0012,2026-06-04 15:07:10,306,LOC0006,voice,PH0014,PH0012
CDR000010,P0001,P0008,2026-06-08 10:57:44,165,LOC0001,voice,PH0001,PH0008
CDR000011,P0013,P0010,2026-06-08 20:18:36,81,LOC0008,voice,PH0013,PH0010
CDR000012,P0001,P0004,2026-06-10 09:02:06,0,LOC0007,sms,PH0001,PH0004
CDR000013,P0014,P0010,2026-06-10 14:29:28,104,LOC0001,voice,PH0014,PH0010
CDR000014,P0007,P0017,2026-06-10 20:09:52,21,LOC0003,voice,PH0007,PH0017
CDR000015,P0009,P0011,2026-06-10 21:34:27,0,LOC0007,sms,PH0009,PH0011
CDR000016,P0004,P0005,2026-06-11 09:46:26,144,LOC0004,voice,PH0004,PH0005
CDR000017,P0004,P0002,2026-06-12 09:08:29,177,LOC0004,voice,PH0004,PH0002
CDR000018,P0005,P0006,2026-06-12 13:45:35,0,LOC0004,sms,PH0005,PH0006
CDR000019,P0002,P0003,2026-06-12 17:20:31,0,LOC0002,sms,PH0002,PH0003
CDR000020,P0012,P0005,2026-06-12 20:58:04,74,LOC0001,voice,PH0012,PH0021
CDR000021,P0011,P0009,2026-06-13 12:20:39,24,LOC0007,voice,PH0011,PH0009
CDR000022,P0004,P0006,2026-06-13 15:25:47,0,LOC0004,sms,PH0004,PH0006
CDR000023,P0010,P0013,2026-06-14 13:05:10,86,LOC0008,voice,PH0010,PH0013
CDR000024,P0009,P0011,2026-06-17 09:52:54,67,LOC0007,voice,PH0009,PH0011
CDR000025,P0012,P0010,2026-06-17 20:56:31,405,LOC0006,voice,PH0012,PH0010
CDR000026,P0001,P0008,2026-06-18 12:27:47,43,LOC0001,voice,PH0001,PH0008
CDR000027,P0012,P0009,2026-06-18 12:53:14,305,LOC0003,voice,PH0012,PH0009
CDR000028,P0006,P0003,2026-06-19 10:25:54,0,LOC0005,sms,PH0006,PH0003
CDR000029,P0004,P0001,2026-06-19 12:37:58,214,LOC0004,voice,PH0004,PH0001
CDR000030,P0005,P0010,2026-06-20 13:44:44,614,LOC0002,voice,PH0021,PH0010
CDR000031,P0006,P0004,2026-06-20 18:31:39,111,LOC0005,voice,PH0006,PH0004
CDR000032,P0007,P0019,2026-06-21 06:43:11,298,LOC0003,voice,PH0007,PH0019
