relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,timestamp,source_record_id
REL000001,account,ACC00004,TRANSFERRED_TO,account,ACC00002,2026-06-01 11:38:36,TXN000001
REL000002,person,P0005,COMMUNICATES_WITH,person,P0009,2026-06-02 09:44:14,CDR000001
REL000003,person,P0005,COMMUNICATES_WITH,person,P0012,2026-06-02 19:31:35,CDR000002
REL000004,person,P0006,COMMUNICATES_WITH,person,P0004,2026-06-03 10:45:38,CDR000003
REL000005,person,P0010,COMMUNICATES_WITH,person,P0009,2026-06-03 11:14:52,CDR000004
REL000006,person,P0004,COMMUNICATES_WITH,person,P0007,2026-06-03 14:09:57,CDR000005
REL000007,person,P0013,COMMUNICATES_WITH,person,P0009,2026-06-03 17:36:07,CDR000006
REL000008,account,ACC00002,TRANSFERRED_TO,account,ACC00007,2026-06-03 17:42:45,TXN000002
REL000009,person,P0017,COMMUNICATES_WITH,person,P0007,2026-06-03 17:56:08,CDR000007
REL000010,person,P0005,APPEARS_AT,location,LOC0002,2026-06-04 11:30:44,SURV000001
REL000011,person,P0012,COMMUNICATES_WITH,person,P0009,2026-06-04 13:38:04,CDR000008
REL000012,person,P0014,COMMUNICATES_WITH,person,P0012,2026-06-04 15:07:10,CDR000009
REL000013,account,ACC00010,TRANSFERRED_TO,account,ACC00011,2026-06-04 15:46:51,TXN000003
REL000014,person,P0001,COMMUNICATES_WITH,person,P0008,2026-06-08 10:57:44,CDR000010
REL000015,person,P0013,COMMUNICATES_WITH,person,P0010,2026-06-08 20:18:36,CDR000011
REL000016,person,P0001,COMMUNICATES_WITH,person,P0004,2026-06-10 09:02:06,CDR000012
REL000017,person,P0014,COMMUNICATES_WITH,person,P0010,2026-06-10 14:29:28,CDR000013
REL000018,person,P0007,COMMUNICATES_WITH,person,P0017,2026-06-10 20:09:52,CDR000014
REL000019,person,P0009,COMMUNICATES_WITH,person,P0011,2026-06-10 21:34:27,CDR000015
REL000020,person,P0004,COMMUNICATES_WITH,person,P0005,2026-06-11 09:46:26,CDR000016
REL000021,person,P0004,COMMUNICATES_WITH,person,P0002,2026-06-12 09:08:29,CDR000017
REL000022,person,P0005,COMMUNICATES_WITH,person,P0006,2026-06-12 13:45:35,CDR000018
REL000023,person,P0002,COMMUNICATES_WITH,person,P0003,2026-06-12 17:20:31,CDR000019
REL000024,person,P0012,COMMUNICATES_WITH,person,P0005,2026-06-12 20:58:04,CDR000020
REL000025,person,P0011,COMMUNICATES_WITH,person,P0009,2026-06-13 12:20:39,CDR000021
REL000026,person,P0004,COMMUNICATES_WITH,person,P0006,2026-06-13 15:25:47,CDR000022
REL000027,person,P0010,COMMUNICATES_WITH,person,P0013,2026-06-14 13:05:10,CDR000023
REL000028,person,P0001,APPEARS_AT,location,LOC0001,2026-06-16 20:25:03,SURV000002
REL000029,account,ACC00005,TRANSFERRED_TO,account,ACC00002,2026-06-16 22:01:44,TXN000004
REL000030,person,P0009,COMMUNICATES_WITH,person,P0011,2026-06-17 09:52:54,CDR000024
REL000031,person,P0012,COMMUNICATES_WITH,person,P0010,2026-06-17 20:56:31,CDR000025
REL000032,account,ACC00020,TRANSFERRED_TO,account,ACC00004,2026-06-17 21:46:23,TXN000005
REL000033,person,P0001,COMMUNICATES_WITH,person,P0008,2026-06-18 12:27:47,CDR000026
REL000034,person,P0012,COMMUNICATES_WITH,person,P0009,2026-06-18 12:53:14,CDR000027
REL000035,person,P0008,ASSOCIATED_WITH_CASE,case,CASE0003,2026-06-18 21:30:00,FIR00007
REL000036,person,P0006,COMMUNICATES_WITH,person,P0003,2026-06-19 10:25:54,CDR000028
REL000037,person,P0004,COMMUNICATES_WITH,person,P0001,2026-06-19 12:37:58,CDR000029
REL000038,account,ACC00006,TRANSFERRED_TO,account,ACC00005,2026-06-19 16:06:37,TXN000006
REL000039,person,P0009,APPEARS_AT,location,LOC0005,2026-06-19 20:38:45,SURV000003
REL000040,person,P0005,COMMUNICATES_WITH,person,P0010,2026-06-20 13:44:44,CDR000030
REL000041,account,ACC00011,TRANSFERRED_TO,account,ACC00012,2026-06-20 16:03:18,TXN000007
REL000042,person,P0017,APPEARS_AT,location,LOC0006,2026-06-20 17:37:04,SURV000004
REL000043,person,P0006,COMMUNICATES_WITH,person,P0004,2026-06-20 18:31:39,CDR000031
REL000044,person,P0007,COMMUNICATES_WITH,person,P0019,2026-06-21 06:43:11,CDR000032
REL000045,account,ACC00020,TRANSFERRED_TO,account,ACC00007,2026-06-21 11:36:40,TXN000008
REL000046,person,P0005,COMMUNICATES_WITH,person,P0007,2026-06-22 07:24:36,CDR000033
REL000047,account,ACC00004,TRANSFERRED_TO,account,ACC00001,2026-06-22 10:25:30,TXN000009
REL000048,person,P0018,APPEARS_AT,location,LOC0002,2026-06-22 17:13:56,SURV000005
REL000049,person,P0019,COMMUNICATES_WITH,person,P0012,2026-06-23 00:47:13,CDR000034
REL000050,person,P0011,COMMUNICATES_WITH,person,P0009,2026-06-23 08:43:19,CDR000035
REL000051,person,P0002,COMMUNICATES_WITH,person,P0018,2026-06-23 09:51:40,CDR000036
REL000052,account,ACC00012,TRANSFERRED_TO,account,ACC00010,2026-06-23 15:15:21,TXN000010
REL000053,account,ACC00002,TRANSFERRED_TO,account,ACC00007,2026-06-23 17:09:35,TXN000011
REL000054,person,P0004,APPEARS_AT,location,LOC0004,2026-06-23 19:15:58,SURV000006
REL000055,person,P0013,APPEARS_AT,location,LOC0005,2026-06-23 23:03:30,SURV000007
REL000056,person,P0008,APPEARS_AT,location,LOC0001,2026-06-24 21:33:59,SURV000008
REL000057,person,P0020,COMMUNICATES_WITH,person,P0001,2026-06-25 11:21:26,CDR000037
REL000058,person,P0002,COMMUNICATES_WITH,person,P0007,2026-06-25 11:39:04,CDR000038
REL000059,person,P0015,APPEARS_AT,location,LOC0004,2026-06-25 13:57:48,SURV000009
REL000060,person,P0010,COMMUNICATES_WITH,person,P0009,2026-06-25 19:18:50,CDR000039
REL000061,person,P0020,COMMUNICATES_WITH,person,P0008,2026-06-26 12:25:43,CDR000040
REL000062,person,P0005,COMMUNICATES_WITH,person,P0004,2026-06-27 04:37:46,CDR000041
REL000063,person,P0014,COMMUNICATES_WITH,person,P0009,2026-06-27 08:21:02,CDR000042
REL000064,person,P0011,COMMUNICATES_WITH,person,P0010,2026-06-28 07:27:54,CDR000043
REL000065,account,ACC00012,TRANSFERRED_TO,account,ACC00011,2026-06-28 19:58:40,TXN000012
REL000066,person,P0001,COMMUNICATES_WITH,person,P0002,2026-06-29 05:58:40,CDR000044
REL000067,person,P0015,COMMUNICATES_WITH,person,P0019,2026-06-29 07:58:30,CDR000045
REL000068,person,P0001,COMMUNICATES_WITH,person,P0002,2026-06-29 08:02:37,CDR000046
REL000069,person,P0006,APPEARS_AT,location,LOC0005,2026-06-29 08:29:18,SURV000010
REL000070,person,P0020,COMMUNICATES_WITH,person,P0004,2026-06-29 13:39:14,CDR000047
REL000071,person,P0013,COMMUNICATES_WITH,person,P0009,2026-06-29 14:13:19,CDR000048
REL000072,person,P0010,COMMUNICATES_WITH,person,P0009,2026-06-29 18:53:06,CDR000049
REL000073,account,ACC00002,TRANSFERRED_TO,account,ACC00001,2026-06-29 21:51:26,TXN000013
REL000074,person,P0003,COMMUNICATES_WITH,person,P0001,2026-06-30 10:20:05,CDR000050
REL000075,person,P0006,COMMUNICATES_WITH,person,P0008,2026-06-30 10:55:54,CDR000051
REL000076,account,ACC00013,TRANSFERRED_TO,account,ACC00012,2026-07-01 17:35:07,TXN000014
REL000077,person,P0009,APPEARS_AT,location,LOC0007,2026-07-02 11:06:01,SURV000011
REL000078,account,ACC00021,TRANSFERRED_TO,account,ACC00010,2026-07-02 11:20:14,TXN000015
REL000079,person,P0018,APPEARS_AT,location,LOC0008,2026-07-02 13:49:31,SURV000012
REL000080,person,P0009,COMMUNICATES_WITH,person,P0011,2026-07-03 09:16:03,CDR000052
REL000081,person,P0006,COMMUNICATES_WITH,person,P0001,2026-07-03 12:27:37,CDR000053
REL000082,person,P0010,COMMUNICATES_WITH,person,P0013,2026-07-03 15:31:29,CDR000054
REL000083,person,P0007,COMMUNICATES_WITH,person,P0005,2026-07-03 22:25:46,CDR000055
REL000084,person,P0001,COMMUNICATES_WITH,person,P0004,2026-07-04 11:46:22,CDR000056
REL000085,person,P0019,COMMUNICATES_WITH,person,P0012,2026-07-04 14:44:16,CDR000057
