transaction_id,sender_account_id,receiver_account_id,timestamp,amount,transaction_type,location_id
TXN000001,ACC00004,ACC00002,2026-06-01 11:38:36,1623.78,IMPS,LOC0004
TXN000002,ACC00002,ACC00007,2026-06-03 17:42:45,6671.81,IMPS,LOC0002
TXN000003,ACC00010,ACC00011,2026-06-04 15:46:51,9052.42,UPI,LOC0002
TXN000004,ACC00005,ACC00002,2026-06-16 22:01:44,1327.79,NEFT,LOC0002
TXN000005,ACC00020,ACC00004,2026-06-17 21:46:23,2932.92,NEFT,LOC0002
TXN000006,ACC00006,ACC00005,2026-06-19 16:06:37,10585.16,NEFT,LOC0005
TXN000007,ACC00011,ACC00012,2026-06-20 16:03:18,6976.96,UPI,LOC0007
TXN000008,ACC00020,ACC00007,2026-06-21 11:36:40,14765.07,UPI,LOC0001
TXN000009,ACC00004,ACC00001,2026-06-22 10:25:30,1377.79,cash_transfer,LOC0004
TXN000010,ACC00012,ACC00010,2026-06-23 15:15:21,2971.48,NEFT,LOC0006
TXN000011,ACC00002,ACC00007,2026-06-23 17:09:35,3921.24,UPI,LOC0007
TXN000012,ACC00012,ACC00011,2026-06-28 19:58:40,14776.67,UPI,LOC0006
TXN000013,ACC00002,ACC00001,2026-06-29 21:51:26,9669.59,UPI,LOC0002
TXN000014,ACC00013,ACC00012,2026-07-01 17:35:07,3038.80,UPI,LOC0008
TXN000015,ACC00021,ACC00010,2026-07-02 11:20:14,6200.00,UPI,LOC0002
TXN000016,ACC00017,ACC00015,2026-07-14 20:09:27,4629.63,UPI,LOC0002
TXN000017,ACC00007,ACC00021,2026-07-15 10:30:22,2500.00,UPI,LOC0003
TXN000018,ACC00018,ACC00015,2026-07-15 16:15:09,411.52,IMPS,LOC0002
TXN000019,ACC00001,ACC00002,2026-07-17 04:34:43,2587.94,cash_transfer,LOC0001
TXN000020,ACC00009,ACC00021,2026-07-19 15:45:40,4800.00,NEFT,LOC0007
TXN000021,ACC00012,ACC00010,2026-07-21 00:36:28,3996.17,UPI,LOC0006
TXN000022,ACC00017,ACC00016,2026-07-23 13:16:53,6148.97,IMPS,LOC0003
TXN000023,ACC00012,ACC00013,2026-07-25 13:10:04,3342.16,UPI,LOC0006
TXN000024,ACC00017,ACC00015,2026-07-25 16:02:51,7000.00,UPI,LOC0007
TXN000025,ACC00013,ACC00012,2026-07-27 07:37:36,3242.28,UPI,LOC0008
TXN000026,ACC00007,ACC00015,2026-07-27 10:14:33,48000.00,UPI,LOC0003
TXN000027,ACC00018,ACC00015,2026-07-29 12:48:05,12500.00,IMPS,LOC0002
TXN000028,ACC00002,ACC00007,2026-07-30 10:13:28,1927.80,UPI,LOC0002
TXN000029,ACC00011,ACC00013,2026-08-02 09:43:48,1633.04,UPI,LOC0008
TXN000030,ACC00014,ACC00009,2026-08-03 13:12:28,1659.65,NEFT,LOC0006
TXN000031,ACC00017,ACC00016,2026-08-04 15:30:44,15500.00,NEFT,LOC0003
TXN000032,ACC00005,ACC00008,2026-08-04 17:24:47,2247.81,cash_transfer,LOC0003
TXN000033,ACC00017,ACC00016,2026-08-05 06:48:57,5760.31,UPI,LOC0004
TXN000034,ACC00021,ACC00012,2026-08-06 13:05:09,3900.00,UPI,LOC0002
TXN000035,ACC00006,ACC00003,2026-08-06 15:26:23,9719.26,UPI,LOC0005
TXN000036,ACC00005,ACC00007,2026-08-09 17:47:13,2262.49,UPI,LOC0002
TXN000037,ACC00016,ACC00008,2026-08-12 02:47:33,248000.00,cash_transfer,LOC0003
TXN000038,ACC00018,ACC00017,2026-08-14 06:24:59,1791.44,UPI,LOC0002
TXN000039,ACC00013,ACC00010,2026-08-14 10:05:22,9800.00,UPI,LOC0008
TXN000040,ACC00013,ACC00012,2026-08-14 11:12:48,9600.00,IMPS,LOC0008
TXN000041,ACC00013,ACC00014,2026-08-14 12:26:09,9700.00,UPI,LOC0008
TXN000042,ACC00013,ACC00009,2026-08-14 13:40:31,9500.00,UPI,LOC0008
TXN000043,ACC00002,ACC00006,2026-08-16 11:23:01,2684.41,NEFT,LOC0002
TXN000044,ACC00001,ACC00004,2026-08-19 09:12:04,95000.00,IMPS,LOC0001
TXN000045,ACC00004,ACC00021,2026-08-19 11:40:37,92400.00,UPI,LOC0004
TXN000046,ACC00021,ACC00011,2026-08-19 15:05:19,90100.00,NEFT,LOC0002
TXN000047,ACC00011,ACC00016,2026-08-19 18:30:52,87500.00,cash_transfer,LOC0007
TXN000048,ACC00010,ACC00009,2026-08-24 06:18:30,7722.76,cash_transfer,LOC0008
TXN000049,ACC00015,ACC00018,2026-08-26 11:48:19,5265.49,UPI,LOC0004
TXN000050,ACC00007,ACC00006,2026-08-26 16:13:05,596.06,UPI,LOC0003
TXN000051,ACC00010,ACC00011,2026-08-28 18:00:05,1434.96,NEFT,LOC0008
